"Date","Price","Open","High","Low","Change %"
"Aug 19","3.149","3.192","3.194","3.128","-1.07%"
"Jul 19","3.183","3.315","3.315","3.140","-2.93%"
"Jun 19","3.279","3.320","3.324","3.243","-0.55%"
"May 19","3.297","3.400","3.415","3.265","-3.48%"
"Apr 19","3.416","3.140","3.480","3.114","11.09%"
"Mar 19","3.075","3.218","3.280","3.075","-4.15%"
"Feb 19","3.208","3.143","3.230","3.080","2.49%"
"Jan 19","3.130","3.280","3.280","3.091","-4.28%"
"Dec 18","3.270","3.420","3.443","3.268","-3.77%"
"Nov 18","3.398","3.562","3.588","3.350","-3.82%"
"Oct 18","3.533","3.640","3.668","3.525","-3.34%"
"Sep 18","3.655","3.650","3.727","3.605","1.53%"
"Aug 18","3.600","3.583","3.710","3.465","1.90%"
"Jul 18","3.533","3.550","3.615","3.444","-0.28%"
"Jun 18","3.543","3.666","3.722","3.534","-2.83%"
"May 18","3.646","3.700","3.780","3.621","-0.19%"
"Apr 18","3.653","3.800","3.800","3.520","-3.31%"
"Mar 18","3.778","3.860","3.975","3.733","-2.05%"
"Feb 18","3.857","3.986","3.990","3.847","-2.21%"
"Jan 18","3.944","3.950","4.120","3.881","0.74%"
"Dec 17","3.915","3.925","3.995","3.880","-0.05%"
"Nov 17","3.917","3.919","4.033","3.871","0.03%"
"Oct 17","3.916","3.700","3.917","3.630","7.64%"
"Sep 17","3.638","3.714","3.714","3.599","-1.01%"
"Aug 17","3.675","3.640","3.736","3.602","1.27%"
"Jul 17","3.629","3.580","3.643","3.553","1.43%"
"Jun 17","3.578","3.677","3.725","3.488","-2.51%"
"May 17","3.670","3.500","3.717","3.455","5.55%"
"Apr 17","3.477","3.334","3.519","3.280","5.05%"
"Mar 17","3.310","3.395","3.451","3.257","-1.43%"
"Feb 17","3.358","3.400","3.500","3.342","-0.15%"
"Jan 17","3.363","3.030","3.363","3.030","9.69%"
"Dec 16","3.066","2.948","3.401","2.948","4.18%"
"Nov 16","2.943","2.753","2.964","2.688","7.25%"
"Oct 16","2.744","2.780","2.780","2.601","-0.90%"
"Sep 16","2.769","2.825","2.834","2.715","-1.28%"
"Aug 16","2.805","2.850","2.850","2.620","0.00%"
"Jul 16","2.805","2.871","2.888","2.798","-2.43%"
"Jun 16","2.875","2.997","3.040","2.825","-4.01%"
"May 16","2.995","3.000","3.017","2.909","1.66%"
"Apr 16","2.946","2.910","3.030","2.873","2.08%"
"Mar 16","2.886","2.905","2.963","2.872","-0.79%"
"Feb 16","2.909","2.920","2.950","2.830","0.00%"
"Jan 16","2.909","2.850","2.940","2.754","1.64%"
"Dec 15","2.862","3.088","3.100","2.828","-7.32%"
"Nov 15","3.088","3.100","3.257","3.084","0.03%"
"Oct 15","3.087","3.300","3.300","3.000","-5.77%"
"Sep 15","3.276","3.407","3.407","3.272","-3.48%"
"Aug 15","3.394","3.530","3.573","3.378","-2.30%"
"Jul 15","3.474","3.638","3.653","3.443","-4.27%"
"Jun 15","3.629","3.650","3.676","3.580","1.06%"
"May 15","3.591","3.430","3.608","3.385","4.94%"
"Apr 15","3.422","3.620","3.750","3.413","-5.55%"
"Mar 15","3.623","3.400","3.650","3.340","7.22%"
"Feb 15","3.379","3.530","3.540","3.335","-3.84%"
"Jan 15","3.514","3.700","3.700","3.448","-3.67%"
"Dec 14","3.648","3.550","3.850","3.533","2.88%"
"Nov 14","3.546","3.800","3.800","3.483","-6.34%"
"Oct 14","3.786","4.030","4.100","3.760","-6.01%"
"Sep 14","4.028","4.300","4.380","4.024","-5.18%"
"Aug 14","4.248","4.310","4.320","4.213","-1.16%"
"Jul 14","4.298","4.070","4.350","4.040","5.86%"
"Jun 14","4.060","4.050","4.130","3.990","-2.40%"
"May 14","4.160","4.370","4.540","4.090","-3.93%"
"Apr 14","4.330","4.540","4.600","4.280","-3.35%"
"Mar 14","4.480","4.430","4.560","4.350","1.36%"
"Feb 14","4.420","4.540","4.620","4.340","-2.86%"
"Jan 14","4.550","4.630","4.710","4.450","-1.73%"
"Dec 13","4.630","4.400","4.680","4.370","5.30%"
"Nov 13","4.397","4.200","4.770","4.050","4.19%"
"Oct 13","4.220","4.200","4.260","3.970","4.20%"
"Sep 13","4.050","4.060","4.200","3.960","0.00%"
"Aug 13","4.050","3.720","4.130","3.600","12.50%"
"Jul 13","3.600","3.540","3.850","3.490","0.00%"
"Jun 13","3.600","3.460","3.650","3.360","4.50%"
"May 13","3.445","3.600","3.600","3.237","-1.57%"
"Apr 13","3.500","3.550","3.640","3.251","1.63%"
"Mar 13","3.444","3.650","3.670","3.284","-4.33%"
"Feb 13","3.600","3.630","3.670","3.490","0.00%"
"Jan 13","3.600","3.580","3.650","3.490","0.70%"
"Dec 12","3.575","3.550","3.640","3.390","0.08%"
"Nov 12","3.572","3.586","3.710","3.390","0.06%"
"Oct 12","3.570","3.480","3.710","3.340","2.88%"
"Sep 12","3.470","3.410","3.650","3.210","0.58%"
"Aug 12","3.450","3.290","3.460","3.260","3.60%"
"Jul 12","3.330","3.330","3.450","3.219","-1.19%"
"Jun 12","3.370","3.380","3.500","3.290","-3.71%"
"May 12","3.500","3.540","3.600","3.300","-1.41%"
"Apr 12","3.550","3.560","3.600","3.500","0.00%"
"Mar 12","3.550","3.530","3.603","3.400","0.00%"
"Feb 12","3.550","3.410","3.700","3.380","4.41%"
"Jan 12","3.400","3.420","3.550","3.375","-4.23%"
"Dec 11","3.550","3.550","3.760","3.410","-1.93%"
"Nov 11","3.620","3.760","3.870","3.550","-4.99%"
"Oct 11","3.810","3.860","4.150","3.710","-1.55%"
"Sep 11","3.870","4.100","4.200","3.860","-3.25%"
"Aug 11","4.000","4.070","4.200","3.870","-2.91%"
"Jul 11","4.120","3.900","4.200","3.764","6.19%"
"Jun 11","3.880","3.840","4.114","3.800","1.04%"
"May 11","3.840","3.880","4.044","3.810","-1.03%"
"Apr 11","3.880","3.920","4.068","3.770","-0.51%"
"Mar 11","3.900","3.950","4.100","3.770","-1.02%"
"Feb 11","3.940","4.030","4.200","3.850","1.29%"
"Jan 11","3.890","3.890","4.100","3.769","-0.26%"
"Dec 10","3.900","3.970","4.100","3.765","0.00%"
"Nov 10","3.900","3.700","4.100","3.380","6.27%"
"Oct 10","3.670","3.340","3.730","3.220","12.82%"
"Sep 10","3.253","3.230","3.400","3.170","0.99%"
"Aug 10","3.221","3.300","3.400","3.180","-2.69%"
"Jul 10","3.310","3.300","3.440","3.150","-0.60%"
"Jun 10","3.330","3.230","3.510","3.180","0.60%"
"May 10","3.310","3.340","3.525","3.140","-0.90%"
"Apr 10","3.340","3.388","3.650","3.300","-6.70%"
"Mar 10","3.580","3.500","3.650","3.300","0.85%"
"Feb 10","3.550","3.600","3.720","3.400","-1.39%"
"Jan 10","3.600","3.640","3.770","3.510","0.00%"
"Dec 09","3.600","3.580","3.750","3.510","1.12%"
"Nov 09","3.560","3.750","3.820","3.540","-3.78%"
"Oct 09","3.700","3.530","3.800","3.430","4.52%"
"Sep 09","3.540","3.480","3.640","3.380","-0.28%"
"Aug 09","3.550","3.475","3.640","2.940","0.00%"
"Jul 09","3.550","3.170","3.650","3.000","8.23%"
"Jun 09","3.280","3.060","3.350","3.000","7.19%"
"May 09","3.060","3.120","3.780","3.000","-3.77%"
"Apr 09","3.180","3.180","3.351","3.070","0.63%"
"Mar 09","3.160","3.301","3.451","3.015","1.94%"
"Feb 09","3.100","3.120","3.500","2.996","0.03%"
"Jan 09","3.099","2.760","3.300","2.635","12.73%"
"Dec 08","2.749","3.100","3.100","2.660","-5.98%"
"Nov 08","2.924","3.070","3.400","2.750","-1.71%"
"Oct 08","2.975","3.703","3.979","2.950","-19.68%"
"Sep 08","3.704","4.180","4.595","3.679","-13.26%"
"Aug 08","4.270","4.600","4.894","4.180","-6.91%"
"Jul 08","4.587","4.520","4.938","4.191","3.06%"
"Jun 08","4.451","4.076","4.750","4.076","6.59%"
"May 08","4.176","4.100","4.280","4.050","2.35%"
"Apr 08","4.080","4.100","4.315","3.867","-1.69%"
"Mar 08","4.150","4.300","4.319","3.980","0.48%"
"Feb 08","4.130","4.250","4.450","4.071","-3.95%"
"Jan 08","4.300","4.521","4.600","4.200","-5.49%"
"Dec 07","4.550","4.580","4.700","4.382","-1.37%"
"Nov 07","4.613","4.522","4.700","4.439","2.03%"
"Oct 07","4.521","4.418","4.655","4.196","1.39%"
"Sep 07","4.459","4.260","4.799","4.189","1.36%"
"Aug 07","4.399","4.336","4.701","4.099","0.87%"
"Jul 07","4.361","4.361","4.361","4.361","1.77%"
"Jun 07","4.285","4.285","4.285","4.285","-0.33%"
"May 07","4.299","4.299","4.299","4.299","18.07%"
"Apr 07","3.641","3.641","3.641","3.641","7.15%"
"Mar 07","3.398","3.398","3.398","3.398","8.49%"
"Feb 07","3.132","3.132","3.132","3.132","1.69%"
"Jan 07","3.080","3.080","3.080","3.080","-0.06%"
"Dec 06","3.082","3.082","3.082","3.082","2.09%"
"Nov 06","3.019","3.019","3.019","3.019","1.79%"
"Oct 06","2.966","2.966","2.966","2.966","-10.18%"
"Sep 06","3.302","3.302","3.302","3.302","-0.63%"
"Aug 06","3.323","3.323","3.323","3.323","-1.98%"
"Jul 06","3.390","3.390","3.390","3.390","8.24%"
"Jun 06","3.132","3.132","3.132","3.132","2.79%"
"May 06","3.047","3.047","3.047","3.047","0.00%"
"Apr 06","3.047","3.047","3.047","3.047","3.36%"
"Mar 06","2.948","2.948","2.948","2.948","-0.74%"
"Feb 06","2.970","2.970","2.970","2.970","-5.23%"
"Jan 06","3.134","3.134","3.134","3.134","-5.06%"
"Dec 05","3.301","3.301","3.301","3.301","0.24%"
"Nov 05","3.293","3.293","3.293","3.293","3.75%"
"Oct 05","3.174","3.174","3.174","3.174","-4.54%"
"Sep 05","3.325","3.325","3.325","3.325","-5.49%"
"Aug 05","3.518","3.518","3.518","3.518","-0.85%"
"Jul 05","3.548","3.548","3.548","3.548","-8.42%"
"Jun 05","3.874","3.874","3.874","3.874","-6.27%"
"May 05","4.133","4.133","4.133","4.133","-5.14%"
"Apr 05","4.357","4.357","4.357","4.357","-1.22%"
"Mar 05","4.411","4.411","4.411","4.411","-5.59%"
"Feb 05","4.672","4.672","4.672","4.672","0.54%"
"Jan 05","4.647","4.647","4.647","4.647","2.51%"
"Dec 04","4.533","4.533","4.533","4.533","-4.63%"
"Nov 04","4.753","4.753","4.753","4.753","-0.79%"
"Oct 04","4.791","4.791","4.791","4.791","0.02%"
"Sep 04","4.790","4.790","4.790","4.790","-3.25%"
"Aug 04","4.951","4.951","4.951","4.951","6.61%"
"Jul 04","4.644","4.644","4.644","4.644","2.11%"
"Jun 04","4.548","4.548","4.548","4.548","10.52%"
"May 04","4.115","4.115","4.115","4.115","0.56%"
"Apr 04","4.092","4.092","4.092","4.092","2.81%"
"Mar 04","3.980","3.980","3.980","3.980","0.81%"
"Feb 04","3.948","3.948","3.948","3.948","5.00%"
"Jan 04","3.760","3.760","3.760","3.760","0.13%"
"Dec 03","3.755","3.755","3.755","3.755","-0.77%"
"Nov 03","3.784","3.784","3.784","3.784","4.33%"
"Oct 03","3.627","3.627","3.627","3.627","6.36%"
"Sep 03","3.410","3.410","3.410","3.410","15.99%"
"Aug 03","2.940","2.940","2.940","2.940","1.31%"
"Jul 03","2.902","2.902","2.902","2.902","-2.75%"
"Jun 03","2.984","2.984","2.984","2.984","3.00%"
"May 03","2.897","2.897","2.897","2.897","-7.18%"
"Apr 03","3.121","3.121","3.121","3.121","5.33%"
"Mar 03","2.963","2.963","2.963","2.963","-1.53%"
"Feb 03","3.009","3.009","3.009","3.009","-1.57%"
"Jan 03","3.057","3.057","3.057","3.057","-1.36%"
"Dec 02","3.099","3.099","3.099","3.099","-6.71%"
"Nov 02","3.322","3.322","3.322","3.322","8.28%"
"Oct 02","3.068","3.068","3.068","3.068","-0.42%"
"Sep 02","3.081","3.081","3.081","3.081","8.22%"
"Aug 02","2.847","2.847","2.847","2.847","-0.80%"
"Jul 02","2.870","2.870","2.870","2.870","13.44%"